Train Epoch: 100, Loss: 1.274873, Test Average loss: 0.9169, Accuracy: 68.75%  
Train Epoch: 101, Loss: 1.269021, Test Average loss: 1.0047, Accuracy: 69.3%  
Train Epoch: 102, Loss: 1.207088, Test Average loss: 0.9149, Accuracy: 70.75%  
Train Epoch: 103, Loss: 1.158731, Test Average loss: 0.9921, Accuracy: 69.15%  
Train Epoch: 104, Loss: 1.108893, Test Average loss: 0.9807, Accuracy: 71.65%  
Train Epoch: 105, Loss: 1.161832, Test Average loss: 0.9626, Accuracy: 69.95%  
Train Epoch: 106, Loss: 1.250164, Test Average loss: 0.9142, Accuracy: 71.05%  
Train Epoch: 107, Loss: 1.149464, Test Average loss: 1.0321, Accuracy: 72.45%  
Train Epoch: 108, Loss: 1.121784, Test Average loss: 0.9645, Accuracy: 71.7%  
Train Epoch: 109, Loss: 1.050220, Test Average loss: 0.9642, Accuracy: 71.0%  
Train Epoch: 110, Loss: 1.136306, Test Average loss: 1.0157, Accuracy: 72.05%  
Train Epoch: 111, Loss: 1.055635, Test Average loss: 0.9111, Accuracy: 70.75%  
Train Epoch: 112, Loss: 1.036200, Test Average loss: 0.9183, Accuracy: 71.45%  
Train Epoch: 113, Loss: 1.032071, Test Average loss: 0.9115, Accuracy: 72.55%  
Train Epoch: 114, Loss: 1.106929, Test Average loss: 0.8981, Accuracy: 73.3%  
Train Epoch: 115, Loss: 0.983712, Test Average loss: 0.8944, Accuracy: 71.45%  
Train Epoch: 116, Loss: 0.924380, Test Average loss: 0.8386, Accuracy: 73.15%  
Train Epoch: 117, Loss: 0.944683, Test Average loss: 0.8519, Accuracy: 73.95%  
Train Epoch: 118, Loss: 0.907589, Test Average loss: 0.8516, Accuracy: 73.2%  
Train Epoch: 119, Loss: 0.968396, Test Average loss: 0.8740, Accuracy: 70.2%  
Train Epoch: 120, Loss: 1.017944, Test Average loss: 0.8250, Accuracy: 74.5%  
Train Epoch: 121, Loss: 1.037950, Test Average loss: 0.7629, Accuracy: 74.45%  
Train Epoch: 122, Loss: 0.980207, Test Average loss: 0.9177, Accuracy: 72.25%  
Train Epoch: 123, Loss: 1.042134, Test Average loss: 0.8271, Accuracy: 74.95%  
Train Epoch: 124, Loss: 0.952847, Test Average loss: 0.8031, Accuracy: 74.5%  
Train Epoch: 125, Loss: 0.938626, Test Average loss: 0.8035, Accuracy: 75.4%  
Train Epoch: 126, Loss: 0.927207, Test Average loss: 0.8338, Accuracy: 73.95%  
Train Epoch: 127, Loss: 0.910713, Test Average loss: 0.7962, Accuracy: 75.85%  
Train Epoch: 128, Loss: 0.951432, Test Average loss: 0.8544, Accuracy: 73.9%  
Train Epoch: 129, Loss: 0.946267, Test Average loss: 0.9319, Accuracy: 73.5%  
Train Epoch: 130, Loss: 0.852264, Test Average loss: 0.8596, Accuracy: 75.95%  
