Train Epoch: 123, Loss: 0.704500, Test Average loss: 0.4592, Accuracy: 82.1%  
Train Epoch: 124, Loss: 0.697514, Test Average loss: 0.5075, Accuracy: 83.15%  
Train Epoch: 125, Loss: 0.764070, Test Average loss: 0.4698, Accuracy: 82.25%  
Train Epoch: 126, Loss: 0.785723, Test Average loss: 0.5413, Accuracy: 83.25%  
Train Epoch: 127, Loss: 0.752452, Test Average loss: 0.4758, Accuracy: 82.8%  
Train Epoch: 128, Loss: 0.651393, Test Average loss: 0.5152, Accuracy: 83.6%  
Train Epoch: 129, Loss: 0.781276, Test Average loss: 0.5481, Accuracy: 81.85%  
Train Epoch: 130, Loss: 0.778529, Test Average loss: 0.5088, Accuracy: 81.95%  
Train Epoch: 131, Loss: 0.708800, Test Average loss: 0.5054, Accuracy: 83.55%  
Train Epoch: 132, Loss: 0.870213, Test Average loss: 0.5145, Accuracy: 83.75%  
Train Epoch: 133, Loss: 0.751274, Test Average loss: 0.5173, Accuracy: 83.2%  
Train Epoch: 134, Loss: 0.745677, Test Average loss: 0.5112, Accuracy: 84.0%  
Train Epoch: 135, Loss: 0.740773, Test Average loss: 0.4839, Accuracy: 84.15%  
Train Epoch: 136, Loss: 0.680177, Test Average loss: 0.4282, Accuracy: 83.75%  
Train Epoch: 137, Loss: 0.767843, Test Average loss: 0.4909, Accuracy: 84.75%  
Train Epoch: 138, Loss: 0.643318, Test Average loss: 0.5014, Accuracy: 83.85%  
Train Epoch: 139, Loss: 0.716851, Test Average loss: 0.4598, Accuracy: 84.15%  
Train Epoch: 140, Loss: 0.810893, Test Average loss: 0.5415, Accuracy: 85.15%  
Train Epoch: 141, Loss: 0.680430, Test Average loss: 0.5162, Accuracy: 84.9%  
Train Epoch: 142, Loss: 0.759683, Test Average loss: 0.4176, Accuracy: 85.4%  
Train Epoch: 143, Loss: 0.585812, Test Average loss: 0.4265, Accuracy: 85.2%  
Train Epoch: 144, Loss: 0.637709, Test Average loss: 0.4771, Accuracy: 85.55%  
Train Epoch: 145, Loss: 0.575619, Test Average loss: 0.4174, Accuracy: 85.55%  
Train Epoch: 146, Loss: 0.724336, Test Average loss: 0.4537, Accuracy: 84.95%  
Train Epoch: 147, Loss: 0.723042, Test Average loss: 0.4454, Accuracy: 85.0%  
Train Epoch: 148, Loss: 0.701594, Test Average loss: 0.4318, Accuracy: 85.3%  
Train Epoch: 149, Loss: 0.594722, Test Average loss: 0.4882, Accuracy: 86.0%  
Train Epoch: 150, Loss: 0.669679, Test Average loss: 0.3758, Accuracy: 86.3%  
Train Epoch: 151, Loss: 0.699610, Test Average loss: 0.4911, Accuracy: 85.05%  
Train Epoch: 152, Loss: 0.676618, Test Average loss: 0.3591, Accuracy: 86.35%  
Train Epoch: 153, Loss: 0.766692, Test Average loss: 0.4258, Accuracy: 85.85%  
Train Epoch: 154, Loss: 0.661993, Test Average loss: 0.4056, Accuracy: 86.1%  
Train Epoch: 155, Loss: 0.635887, Test Average loss: 0.3695, Accuracy: 86.6%  
Train Epoch: 156, Loss: 0.643688, Test Average loss: 0.3910, Accuracy: 86.0%  
Train Epoch: 157, Loss: 0.634855, Test Average loss: 0.4491, Accuracy: 86.2%  
Train Epoch: 158, Loss: 0.624894, Test Average loss: 0.3858, Accuracy: 86.75%  
Train Epoch: 159, Loss: 0.616937, Test Average loss: 0.4861, Accuracy: 85.05%  
Train Epoch: 160, Loss: 0.691359, Test Average loss: 0.4573, Accuracy: 84.55%  
Train Epoch: 161, Loss: 0.586624, Test Average loss: 0.4061, Accuracy: 86.95%  
Train Epoch: 162, Loss: 0.521746, Test Average loss: 0.4641, Accuracy: 87.35%  
Train Epoch: 163, Loss: 0.637608, Test Average loss: 0.4012, Accuracy: 85.55%  
Train Epoch: 164, Loss: 0.500352, Test Average loss: 0.4381, Accuracy: 87.15%  
Train Epoch: 165, Loss: 0.609512, Test Average loss: 0.3945, Accuracy: 87.15%  
Train Epoch: 166, Loss: 0.637834, Test Average loss: 0.3751, Accuracy: 88.0%  
Train Epoch: 167, Loss: 0.543455, Test Average loss: 0.3429, Accuracy: 87.9%  
Train Epoch: 168, Loss: 0.656811, Test Average loss: 0.3732, Accuracy: 86.9%  
Train Epoch: 169, Loss: 0.553499, Test Average loss: 0.4038, Accuracy: 87.55%  
Train Epoch: 170, Loss: 0.630305, Test Average loss: 0.4023, Accuracy: 87.45%  
Train Epoch: 171, Loss: 0.661361, Test Average loss: 0.3951, Accuracy: 87.15%  
Train Epoch: 172, Loss: 0.604000, Test Average loss: 0.3446, Accuracy: 88.4%  
Train Epoch: 173, Loss: 0.654142, Test Average loss: 0.3712, Accuracy: 88.0%  
Train Epoch: 174, Loss: 0.556446, Test Average loss: 0.3700, Accuracy: 86.65%  
Train Epoch: 175, Loss: 0.541787, Test Average loss: 0.4190, Accuracy: 88.05%  
Train Epoch: 176, Loss: 0.593766, Test Average loss: 0.3627, Accuracy: 88.9%  
Train Epoch: 177, Loss: 0.599224, Test Average loss: 0.3431, Accuracy: 89.05%  
Train Epoch: 178, Loss: 0.559891, Test Average loss: 0.3596, Accuracy: 88.75%  
Train Epoch: 179, Loss: 0.583562, Test Average loss: 0.3540, Accuracy: 88.45%  
Train Epoch: 180, Loss: 0.606908, Test Average loss: 0.3687, Accuracy: 88.0%  
Train Epoch: 181, Loss: 0.623029, Test Average loss: 0.3459, Accuracy: 88.1%  
Train Epoch: 182, Loss: 0.582688, Test Average loss: 0.3481, Accuracy: 88.75%  
Train Epoch: 183, Loss: 0.496109, Test Average loss: 0.3746, Accuracy: 89.2%  
Train Epoch: 184, Loss: 0.626347, Test Average loss: 0.3389, Accuracy: 88.8%  
Train Epoch: 185, Loss: 0.539031, Test Average loss: 0.3641, Accuracy: 87.95%  
Train Epoch: 186, Loss: 0.580129, Test Average loss: 0.2936, Accuracy: 88.25%  
Train Epoch: 187, Loss: 0.613119, Test Average loss: 0.3784, Accuracy: 89.2%  
Train Epoch: 188, Loss: 0.502422, Test Average loss: 0.3290, Accuracy: 88.35%  
Train Epoch: 189, Loss: 0.620235, Test Average loss: 0.3870, Accuracy: 86.9%  
Train Epoch: 190, Loss: 0.594197, Test Average loss: 0.2787, Accuracy: 89.8%  
Train Epoch: 191, Loss: 0.495890, Test Average loss: 0.3103, Accuracy: 89.7%  
Train Epoch: 192, Loss: 0.498930, Test Average loss: 0.3577, Accuracy: 89.8%  
Train Epoch: 193, Loss: 0.525234, Test Average loss: 0.3377, Accuracy: 90.15%  
Train Epoch: 194, Loss: 0.463441, Test Average loss: 0.3543, Accuracy: 89.1%  
Train Epoch: 195, Loss: 0.497429, Test Average loss: 0.3577, Accuracy: 89.0%  
Train Epoch: 196, Loss: 0.492431, Test Average loss: 0.3719, Accuracy: 88.85%  
Train Epoch: 197, Loss: 0.551970, Test Average loss: 0.2915, Accuracy: 90.3%  
Train Epoch: 198, Loss: 0.532852, Test Average loss: 0.3225, Accuracy: 89.35%  
Train Epoch: 199, Loss: 0.545189, Test Average loss: 0.3096, Accuracy: 89.5%  
Train Epoch: 200, Loss: 0.523281, Test Average loss: 0.3122, Accuracy: 88.65%  
Train Epoch: 201, Loss: 0.428540, Test Average loss: 0.3257, Accuracy: 89.75%  
Train Epoch: 202, Loss: 0.537513, Test Average loss: 0.2647, Accuracy: 89.55%  
Train Epoch: 203, Loss: 0.525407, Test Average loss: 0.3462, Accuracy: 90.0%  
Train Epoch: 204, Loss: 0.443392, Test Average loss: 0.2838, Accuracy: 90.75%  
Train Epoch: 205, Loss: 0.459353, Test Average loss: 0.2775, Accuracy: 88.8%  
Train Epoch: 206, Loss: 0.485244, Test Average loss: 0.2726, Accuracy: 90.95%  
Train Epoch: 207, Loss: 0.495929, Test Average loss: 0.2806, Accuracy: 90.4%  
Train Epoch: 208, Loss: 0.483257, Test Average loss: 0.2546, Accuracy: 89.7%  
Train Epoch: 209, Loss: 0.463293, Test Average loss: 0.2797, Accuracy: 90.05%  
